title_clean,first_sentence
one morning i woke up,one morning i woke up
my funny kitty,my funny kitty likes to do funny dances
a cat in a hat,there once was a cat in a hat 
me,sweet athletic reliable active that's me
battle for hope,hope
trying to fly,i spent most of my time trying to fly
bedtime stories,when a parent thinks of a story
halloween,there once was a witch
the singing stork,when i awoke this morning
i dont understand,i don't understand
the friend of your life,every time i see you i just cant help but smile
tiny tim,i had a little frog
 colors,you see colors all the time
what i eat and drink,every afternoon i bananas looking at the moon
my son,ok
poetry,poetry poetry is beautiful
pets,pets dogs soft
september 11th,september 11th was a catastrophe
computers,computers are tricky
my world,in my world we laugh and play
patches,my dog is so cute
smelly cheese,as
lizzie,there once was a girl named lizzy
the flower,i saw it sitting in a vase
news,news
pal,pal there was a dog named pal
i love you,i fell in love with you when i first saw you
friends,laughter
spring,in the spring
the long green socks,i am a pair of long green socks im warm
cheese,cheese cheese
fly,i wish i could fly
my heart,my favorite part of my body is my heart
family,family: i ran into a stranger as he passed by
when i think,when i think about you i get shivers
gossip,gossip
chester,chester is my friend
metaphor poetry,your house is like a pet store
max my dog,i have a dog
pigpig,eww
my family,my mom lives in a river
blue,blue royal
the rainbow stream,raddish red
my dog,my dog is name millie she is so cute and sweet
a day in my hooves,a day in my hooves good morning
the sun,the sun is the part of the universe
cats,cats cats are so awesome
pop pop pop,now i lay me down to sleep
homework,homework is a ton of not having fun
snow and rain,snow white
my dog,my dog looks like
the rain,drip
goats,my goats are white and brown and black and white
space,the sun and stars sizzle while spinning-- in space
midnight in the forest,snow flying
walking on sunshine,when i'm walking on sunshine
emily elisabeth,emily elisabeth
my dog,the floppy ears of the drooling dog
my dog smoky,my dog
alien friend,her name is claire shes a good friend
the moon,the moon so shiney it said to me
my morning,every morning i wake up
6 feet deep,six feet deep six feet under
school lunches,these school lunches
leaves,leaves are a fallin
sports,sports are fun they provide chang
puppies,puppies run
as small as a,a small a penny laying on the ground 
the way you smile,the way you smile is so special to me
books,i love books
the train ride,when your on a trian you'll notice some rain
lama,theres a lama standing on the bed
summer,my summer was not a bummer
farliegh,my dogs name is farliegh
dream,bream big
a flying monkey with super powers,one morning flying monkey ate a pencil
dog,dog cute
my funny poem,today i forgot one shoe
my happy time,when emily was born i cried tears of joy
alone or lonely you be the judge,sometimes when i'm alone or by myself
the perfect pet for me,my dog is small but crazy
my lizards,i have two lizards that never eat gizzards
i like pie,i like pie
the big bird nerd,once there was a bird
midnight the cat,my cat my cat she is all black
eggnot,the bird is beautiful
my book report,my history teacher has no heart
funny stuff,almost evry afternoon
hello kitty goodbye leprachuan,once i met a little man who said
okinawa,cherry blossoms fly
worm,when i awoke one morning
heying paradise,there was once a boy
chocolate,who is chocolate? chocolate is my pet grizzly bear
chocolate,who is chocolate? chocolate is my pet grizzly bear
practice makes perfect,all day long
hello,hello oh hello i love hello
pumpkin pie,pumpkin pie i love you
me,vilts are red vilets are blue how much i love you
universal studioes,i feel happy and camp
song,just turn around for one sec
tiger on my my head,when i woke up one morning
i am,i am a snake slithering during the sunsets
my poem,my poems i always get bless
my cousins puppy oreo,oreo is black and white
anonamouse animal,i once saw a large animal
everyone,everyone everyone is looking; looking very sad
monkeys,monkeys are really cool and fun 
my mystery food,as i eat that delious
school stinks,i hate school
the horse,the horse is fast
bears,in the forest where i roam
frogs,frog are big and green
frogs,frog are big and green
serena,silly a lot of the time
cute kittens,kittens
the boy and the snake,there once was a boy playing ball
dragons,dragons a' flyin' round n' round beneath the sky
the lady,the smacking
together forever,no matter where you go
the cats,the cats are so lazy
the night,the night is so dark
my dog scelzi,my dog scelzi has very floppy ears
the cow that went moo,there was a boy at the zoo
a boa in my bed,when i awoke one morning a boa lounged on my bed
my sister,my sister has black feet
myself,i have a witch nose
a girl named alice,there once was a girl named alice
feelings,his eyes can see everything
all your life,all your life you wonder where you'll end up
sports in fall,football is ok in the fall
clowns with frowns,in the night i go hunt clowns with frowns 
eating,nearly every afternoon
winter,white
blooming flowers,spring is here time to see flowers bloom dasies
splat,a water balloon plops from above
my bow,my bow is very jolly
summer holidays,summer is my favorite season
pink,pink is cool
my days with my friends,my days are fun at times my friend are there
krusty krab,krabby patties teast so good
im sorry,i'm sorry when i make you mad
reflection,when you look at yourself
the falcon with a skill,one day i was sitting on my window sill
dog,you`re round
homework,i hate homework
break away,youre sprinting on a break away
lizards are at my feet,one morning i woke up and lizards were at my feet
koalas,koalas are fat
my fat furball,it is very fat
dixen,kitty
my dog,my dog is yellow she is a little fellow
my pet fish,i have a pet named grover
why why why,why
dogs,roses are red
shania,shania is a sweet and kind person
the sun,it is a hot day the bright
reality life,i want a real life
backstabbing friends,backstabbing friends are easy to know
i hate homework,i hate hate homework
a lost child,walking the steets
deep love,for you and only you in my heart i have deep love
why did they invent school,why did they invent school? i really don't know
toys boxs,oh
sand,there is so much sand grainy
sand,there is so much sand grainy
lovely deer,deer are beautiful 
monster,there's somthing under my bed
kid,i'm just a kid but i know what i'm feeling
stuck,as i type
color,roses smell like the morning dew
the love,i love the way morgan speaks
remember,remember the soldiers who fough for our county
my teacher,my teacher is so nice i can't even stand it
roses,roses are so awsomee they are red
my monkey,once i had a monkey
the couple,pickels are green
date keeper,i am a calendar
shapes,triangle
chocolate,hugs
boardwalk fries,juicy
mom,your the worlds best mom&lt;br&gt;mom
the race,my pulse is starting to race
my dog,eyes as brown as hazel
books,books can take you anywhere that you can think of
mrsgivens,mrs
invisible,i feel like i'm invisible
king cole,my name is king cole
school is cool,school is cool
what about us,what about us? the things that you say
angels,north
the earth,the fur trees are like feathers
cake,i like cake it makes you shake
baby brothers,who are we? we love to be bad
toot toot,an orange sat on the railroad tracks
the puppy,the puppy ran all day
ice,ice
memyselfand i,
mr backwards,mr
abbey,abbey likes to jump around
the pest of all pest my brother,my brother can be a pest
me im just me,me
grapes,grapes
the mop,i have a dog
me,outstanding me
the funny bunny,hay mr
changes,i feel like everthing is harder than before
you are the,mother
my hair,i like my hair because it is like my mom hair's is
rats nest,when i woke up one morning a rat was on my head
feeling blue,i'm feeling blue
you know holloween is here,when the pumpkins dance
spring is here,the sky is so blue and high oh
poetry,poetry is so fun
thunder,thunder
go,the open door stares at me
george debree,there once was a man named george debree
the weird dog,i once knew a weird dog
here comes a giraffehead,here comes agiraffehead
a cockatoo for sale,a cockatoo for sale
every morning,almost every morning
poetry,i like to think of it as singing
a nice and sunny day,it was a nice and sunny day
hunter,he is so funny and cuddly
sweet jellybeans,sweet jellybeans
the cat,i had a cat
lucky,can you guess who is lucky? i bet not 
the not so white fuzzball,that dirty dog that's supposed to be white
christopher bradley,two of my best friends they are related to hens
tasty dinner,oh dinner
the pound,i saw a puppie whith out a name
my teeth,my teeth are something special
the late beetle,the beetle crawls in the jar
creature,buzzing like a bee
football,football is really a nice sport
love,the sky is blue oranges are orange like us
fun,fun
monkeys,when i was stuck up on a tree
light to light,as it changes to a fading pink
a stormy day,on a stormy day you would say i love you
the storm,as the birds twittered
my nose,my nose knows what i smell
dad,a big football fan
cold days,its cold out today
the tick,i woke up one morning
waking up with a flea on my head,when i awoke one morning a flea was on my head
cats in hats,theres a saying that cats wear hats
rhymes,things that rhyme pin
school,school fun
squids lunch,squid is eating lunch
love,love happens everywhere
who am i,i like to sing and dance
my cat,i love my cat
i am ,i am as fast as a limo
home,the awesomeness that fills the air&#x85;
my name,my name is alone 
the best part of me,my favorite part of me is my hair
my self,i am so strong
the prank day,as my mother came home from a tired day
homework,last night at exactly 5:09 i started my homework
mcmcfaus that silly mouse,i have a friend who has a mouse
the great mistake,we watched the forest fire
my cat,ears that move like a owl's head
zeus,in marriage
rainbow,rainbow
game cube,i am the nintendo game cube
poetry is,poetry is love
oreo,oreo
a is for angel,a is for angel
american matter,it's red and white
friends,i have a lot of friends
life,once you have something
sergio,sergio
my bike,my bike
unicorns,unicrons unicorns purple and pink
candy land,i woke up one morning
flower power,flowers are pretty
open feilds,horses love to run
together,you said together and together means forever
bananas,i eat bananas every day
waiting for an email,i'm waiting for an email from allison
my canary,a canary can be very noisy
rain,rain falls so softly
boogeyman,the boogeyman only comes out at night
hi,tove the lord your god with all your heart
the colatemilk cow named daisy,a colate milk named daisy
unsolved,i wonder what is the meaning of life
dogs,dogs are loyal
my cats,my cats love basking in the sun however
fire,i am the fire
my dog sparkie,my dog sparkie is very old
december,december is my bithday
green,the leaves on the trees
sophies secrets,sophie keeps her secrets
outer space,a world of darkness no life meant to be
out of reach,always on the wrong side
the cat and the waiter,once there was cat
secrets of the soul,every hearts a hurricane
secrets of the soul,every hearts a hurricane
food,food
my dog,my dog my dog is fast running
a witchs broom,if i could capture a witchs broom
retirement,her retirement made me sad
hello,i say hello to everyone including my mello yello
lacrosse,laser awesome cool radical ouch
my annoying brother,likes to play with bouncy balls
whos pat,there is a cat
the teachers curse,we had a teacher
pets at home,first of all the finches chirp
sunny days,sunny days are awesome
how i made a new friend,when i awoke one morning
i guessed,i guessed it would happen this way
my best friend,she is always there for me
my game,my game
harry potter the great,harry potter oh so great
tarzan,tarzan 
forgoten,scared and upset
summer camp,\tmy parents sent me to a summer camp
my dog suzie q,my dog suzie q likes to curl
christmas day,christmas day is so cool
there was a cat,there was a cat
spring,leaves are growing green
spring is coming,everywhere i turn
the colors of me,the colors of me
what a normal day it is,what a nomal day it is going to school at eight p
do your best,peaple think there perfect but there really not
flag,dominican flag red
dreams,at 9 o'clock i like to go to bed
school,paper
dear santa,dear santa
the moon,the moon is as bright as the sun tonight
lewis and clarks expedition,lewis and clark started in 1804
baby,little
my backyard,my backyard is cool
my hair in the morning,when i wake up i feel really weird
ears,ears why do we have such weird things
bats,i saw a bat
scrambled,the trees are pink
i caught it,bam
tomorrows the fair,tomorrow's the fair and i shall be there
chef,if you look at the best
tecnology,everything today is trying to be easier
peace is a bridge,peace is like a bridge that needs to be crossed
steph,short teacher encouraging polite happy
one valentines day,one valentines day my mom got married
im so hungry,i'm so hungry
bridges,all i see is water
sky diving,scarry
limericks,there once was a man named oshay
green,green is the color of a kiwi getting eaten by mr
head trouble,once in my car
the day a zebra was on my head,when i awoke one morning a zebra was on my head
america the beautiful,america
good old days,sometimes i remeber the good old days
me,my nose is blue
steven,steven friendly
spongebob squarepants,his show starts at eight
spongebob squarepants,his show starts at eight
family love,dear love
win,kick the ball or throw it in
summer makes me think,summer makes me think of going to the beach
my eyeglasses,oh
school,school is very very fun
my rabbit,my rabbit was a good friend
dinos,dinos are scary
friday 13th,the moon cam out shining about
the king of beasts,the most ferocious beast 
game boy,a gameboy has 2
my little sister,my little sister take my stuff from my box
big foot,is big foot real? i wish
cars,cars are fast
snow,snow is cold like if sold
waterfire and fun,water
flowers,flowers are red
mom,my mom is nice
my school,school is cool
spelling,spelling is not fun
robbing on the loot,i woke up this morning
little tree frog big jungle,big eyes looking green body
clock,i found a black clock with a white sock
the boys,there are a group of boys
wings,as long as you can try
frog,there was a fat frog
siblings,siblings dumb
horn,honk
god will win,one world
my cat,my cat is funny
the crush,he looks at me
over the garden wall,over the garden wall where unseen children play
my cat,my cat
my house,i always look at my house
i see light,i dream that people are taking care of me
school,i like school
oliver the bunny,hopping around making no sound eating carrots
cheese,i like cheese can you give me some please
rosa parks,go to the back of the bus
flying,flying up to the sky
deck of cards,mr
hate,it is that darkness you hold inside
freckles,freckle
i love,i love all most everything except drawing
these five years,no at this was bored
angel,she has so much hair its as if she is a bear
golden blessing,dragon shining
the fighters light,the armored dragon
death,a dragon
way of life,the dragon stands ready
sydney beautiful,sydney is nice
sydney beautiful,sydney is nice
it is halloween night,it is halloween night
the sun,the sun is bright
why cant i fly,why cant i fly? in the sky
friends,colleen
winter,evergreen trees
dolphins,dolphins are so sweet
symone,symone's a lady
avonlea,the winds a blowin' the wheat fields in james a
a waterfall,a waterfall is a beautiful sight
the tack i sat on,one day i was eating lunch
baseball,baseball&lt;br&gt;fun
my dog,my dog is so soft and gentle
the ugly things i hate,demons are red
polk a polk dots,i look on the ground and see little white dots
i love puppies,puppies are playful
its getting cold,its starting to get cold outside
horses,horses horses here and there
my baby brother,my baby brother is so small
a dip in the stew,i have to dip in the turkey stew
the best,roses are red
the world around me,the world around me
having a dream,i have a dream
volcanoes,volcanoes are so loud
i look at you,i look at you your eyes so
snoring,snoring and boring they both are so
mary jane,oh mary jane she is in pain
my dog is such a cutie,his ears are large
school,slam
feelings,when feelings get hurt
the man from peru,there once was a man from peru
twas,talented awesome mored angel remembered independed
my dog,i love my dog 
cloud sounds,its silent sound relaxs my ear
my ears,my ears are smaller than pears
what i would put in my brew,i would put cotton candy and a boy named andy
skiing,the first time i tried to ski
friends,you and me
home work,homework homework i hate it
the coin,did you know the story of the coin? if not 
may,may has 31 days
snow,snow is a big thing for kids
i had a dog,i had a dog
tomatoes,i know tomatoes can be red
school,boring math
i wanna be,i wanna be free free
 cruel frederick ,here is cruel frederick
how my uncle paints,''i painted our kitchen blue
want a brother ,my father has a brother
summer,summer is the best of all it's better than winter
tara,t-alented a-thletic r-eliable a-wsome
somebody,who are you
purple and pink,i am one kind
tara,tara generous
cats,fluffy
friends,fun times
music,beautiful
roses are,roses are red 
christmas,christmas is a time for love and care
little green ella,my little frog's nose is big cute and cudly
kamryn,kamryn is loving
apples,apples green
wish come true,i had a wish for a fish in a bowl and not a dish
snow,snow snow your so wow
friends,friends come here and there
night,\tsilent
my top,my favorite toy is a top
everything about me,hair black as the night
delicious peach,i know of a delicious peach
kittens in the rain,meow meow im a cat so i sat
rainy day,i was out playing ball when i had a great fall
rainbows,rainbows are amazing
love,love is cool love is cruel love is sweet
taylor,totaly awsome y is she so crazy l
the night is a big black cat,the night is a big black cat
the boy and the waterfountain,drip
frogs,funny croaks ribbiting is everywhere oh wow
what in the world,oink
scooter,my razor scooter goes so fast when i ride it
my sister,my sister she is only 5
gullible,if gullible was a color it would be yellow
what,w is for whatever
brook trout,swimming peacefully
soccer,soccer is a fun sport
true love,true love does not tell the past
ice,i- icy c- crunchy e- exciting
i wonder way too much,i wonder why
guess what,blowing whooooooooooo
the play of a snow day,the winter snow is falling down
animals,two little rodents
my teddy bear,my teddy bear has eyes like oil
18 little dweebs,just before the clock struck twelve
my stuffed animal tiger,my stuffed animal is a tiger
rain,rain
beautiful sky,the sky is silent; no one hears it
jojo and me,my best buddy since he was a puppy
spinach,the yuckiest
dogs,dog
the cow,when i woke up one morning
my perfect mother,my perfect mother
tomato,tomato
basketball,every sunday i run up the court
im craving spring,its getting so warm
the true story of rapunzel,rapunzel
adejha g,roses are red violets are blue adejha g
begining day,walk to the beach
love is presious,people come in and out your life for a reason
walking,a girl walking on a street
our eyes,our eyes connect in a beautiful way
the monster in my closet,the monster in my closet has a really big nose
if i were,if i were a tree
the sky is blue,the sky is blue
butterflies,flyable like a bird
louder than a clap of thunder,louder than a clap of thunder
football,football
the recess that was not the same,i thought the recess was cool
my love,my love
acrostic,w inter's like a nice
why oh why,why
a killer brother,oh no
a little note,a little note that music plays can impress a man
homesick,i know who owns this meadow
a year,a year is a day and a day and a day
is this a joke,ha ha ha
my 3 year old dog,my dog is nice buddy likes to chace mice
sweetness in every sound,listen to the birds chirp
a computer so bright,a computer black and white
i know my friends,i know my friends they're always nice
the chickens,i love the chickens yes i love them so
no school for me,i can not go to school today
brothers,brothers
red smarties,when you eat your smarties
my stuffed animal,my stuffed animal is a puppy
stars,stars
my head,i love my head because whiout it id be dead
tasty hot chocolate,im hot and brown
the whale on my head,when i awoke one morning a whale was on my head
boom boom,the lightning goes flash
a crazy leopard,an angry leopard who lost his spots
traveling,i like to travel
the dangerous device,the stapler is a sticking device
pizza,almost every afternoon
roses are red,roses are red
roses are red,roses are red
average day,i call my friends and go outside to play football
brother love,when he was born i was happy
peeper,peeper is a sleeper
nature,a woodpecker pecking on a tree
movies,many people watch me some interesting
baseball,baseball is a great game
if this wasnt me,if this wasn't possibly me
my beautiful family,''i love my family a super bunch
friends,friends
im so mad,i'm so mad everything stinks
wonder,i am a wonder the eye can see i am like you
danceing,when i dance i feel like i am flying
schools out,no more schoolwork
candy,candy candy every were candy candy in my hair
my silly willy dream,in my dream i am flying on a purple dinasaur
cheerleading,cheerleading pretty and nice cheerleading is hard
spring break,spring break is my favorite break
there once was a cat,there once was a cat
today,today when i woke up i heard the wierdest thing
cherry blossom,cherry blossom
julia,julia the sweet cat
earthquakes,rattle
your heart,look into your heart and tell me what you see
one minute of sadness,when you get sad you think no one cares
have hope,have hope
sisters,anyoing
tiffany,tiffany \t caring
parties,parties
scenery of dawn,mountains are high
my house,my house is empty
riding tornados,riding tornadoes riding tornadoes
riding the waves,riding the waves riding the waves
penguins,penguins are cute
penguins,penguins fast
penguins,penguins excited
my idea of writing a poem,it cant be easy writing a poem
homework,make you work a problem tale to tell helpful
small,i am way too small
football,i like football
the broken street light,i once saw a broken street light
the hairy bacon cooker,i am a hairy bacon cooker
the good old days,sometimes i remember the good old days
spring break,spring break is so very fun
my shadow is my enemy,my shadow is my enemy
stream of silver light,a stream of light
ocean,ocean how are you? just fine
a man from wales,there once was man from wales
sugur cane,sugur cane
states,nebraska looks like alaska
good world,the world is good like get up
master of pranks,its april fools day
i am,i am a rock like stone mountain
the clock of time,tick
it,oh so horrible it is
numbers,7
my dog,white and black
hatred and love,books are horrible
ode to spring,how fair are their faces
my hand,i need my hand so
i am legend,stronger than an ant
snake,soft as a feather
the bird and the man,a bird named ted fell from the sky
kitten mittens,kitten kitten making my mittens warm and toasty
waves,the waves are the waves are tall
buster,my pet has long ears ears like old socks
pony,they are cute they are funny
red,red red is the feeling you get when you see fire
monkeys,i can swing like a monkey in the trees
i know a little boy,i know a little boy
frizbi,i have a crazy dog
red,red bright
ocean,it is as blue as the sky
torri,time to go shopping
me,im a bright pink flower shinging in the sun
life,easy
i sorry and miss you,im verry sorry when i made you sad
the things i love about me most,i love my sparkling eyes of blue
me myself and i,me
fill with not joy,the sky is blue and so are you
friends,friends come and go but the memories stay
chicken,ohh how i love my chicken
feet,feel the rythem of your feet
i dream,i dream of lights in the sky
the log,there was a dog
the cat bat box and ox,there once was a mean dark cat
strange creatures,i saw a strange creature outside
hello to you,hello to you
mrbatty,mr
epic poem,the most epic poem you'll ever hear is coming
homework oh homework,homework ih homework you are such a bore
dogs,dogs i rell rell like big nose 
track,fun
apple blossom,apple blossoms
insects,when you're gloomy: listen to the stars
about school,my eyes are pink
the beach,waves coming in at grand haven
recess,refreshing exciting cool extreme super surprising
up in a tree,pokemon 
the dragons,once there were dragons every and they ruled sky
bad brad,brad is bad
my brother,my brother he is as overexcited as a viper
baseball,baseball
writing,writing is something that is something fun
fat rat,my rat is fat his name is cat
cows,i saw some cows with horns
the only one i really know,eyebrows bushy like a badger
smelly rabbit,when i awoke one morning
mouse,small as the tiniest rock
watch out world,''your blood is red
hockey poem,as he takes the puck down
across the ocean,i went around the world to meet you
cheesy cow,there once was a cheeseburger named cheesy cow
 money ,i am 1's
the fox in socks makes a laugh,i am chosen to discover gooey goo for me to chew
the fun person,their was a fun person who lived in a box
about the world,the world is diffrent
me myself and i,body's tall/arms are long
is my family coming yet,is my family coming yet? i hope my brother is
the ultamate pencil,one day i was walking to school
a monsters job,i scare children every night
the cat,there once was a cat
cheese cake,cheesecakes flying every where
skate and love it,skate it skate all day live and love it amazing
birds,birds are very cool
pokemon,some people like bakugan 
flowers,i like flowers
there is a monster under my bed,there is a monster under my bed
funky monkey,this may sound funky
hands,my hands do many things
halloween poem,out of the light
santa letter,troy p
trung,talented respectful unique neat green
bones,bones are tough because they play rough
the star from tv,when i woke one morning
pie,i like pie
me poem,ty enthusiastic
my back yard,as drie as the desert
the three kids,there are three kids on my block
snake on my head,when i awoke one morning a snake was on my head
invisibility,i want to talk to her but i get shy
twins,i love working on my tan
snoring,my dad snores louder than a dragon roar
i don like my sister,i don't like my sister because she acts like a cat
roses are,roses are red violet are blue and so are you
hungery dog,when i woke up one morning
wolf,fluffy and cute
rain,pouring and getting you wet
she just a kid,i know she just a kid but i dont care
colors,colors
freindship something hard losing,they are walking down the street
monster,tough as nails
my rabbit,mybunny has a red nose and alittel tail 
my nameis tyler karlskind,my name is tyler k
dog,the dog chases the frog as it jumped into a log
my dream car,my dream car would be a lamborghini murcielago
useless things,a horse without legs a chicken without eggs
bob,here lies bob
the crook,one day i saw a crook
fall,whirling winds
my dog mya,my dog mya
the fish,the fish was dead
camping,adventure
the dragon,for every knight i annihilate i grow
a monkeys life,monkeys have a cool life
outer space,in outer space its no gravity
the fly and the guy,there was a fly that said ''hi''
stick man,you dont know where theyre facing
louder than a clap,louder than a clap louder than an eagles scream
tylers pie ,pie is sweet it 
bigger than a green giant,bigger than a green giant
what i want,i want a treat
that day,that day i had was one of a kind 
flowers,flowers are pink flowers are red
toys,toys are fun to play with
my adventure with a stork,when i awoke one morning a stork was on my head
dogs,a dog can sleap
my arms,arms arms i love you arms
how i eat my bananas,almost every afternoon
how i eat my bananas,almost every afternoon
marvin,marvelous amazing rare very funny innovative noisy
school is cool,school is cool
rats,rats are cool
snowball,i made myself a snowball
burger,forget your pots
the poem about people,teachers teach and readers read
today is not my day,today is not my day
the stars,stars
my shadow,running
my birthdays on stpatricks day,my birthday's on st
a dog chased a cat,a dog chased a cat around a tree
this is me ,most of the time i am a hot spicy pink
mary mary,mary
foods,almost every afternoon
on christmas i was writing,on chrismas i was writing
pizza,almost every afternoon
ocean,the ocean is a beautiful view
the bird who lost his head,a bird flew over the hill
the nature of maturity,i am a blossoming flower
drug free,drug freee is the way to be
dog,i lap up my delicious food
riddle,i have a long hand and a short hand what am i?
my pencil,my pencil helps me do my homework
is may today,is may today because my birthday is in may
a rose,give me a rose
my family,mom
hot cocoa,hot cocoa feels great down your throught
ponies,pitty
blue car,rum
toys,running and playing stomping toys
nonsense,i love dogs that look like frogs
freculse,furry
little leprechaun,there was a little leprechaun once i saw him
mrsmorelli,every day i wake up and say another boring
butterflies,butterflies butterflies how beautiful you are
the beach,i walk along the sandy beach
monster dog,i was alone one night
thanksgiving day,our world is full happiness
all i want for christmas is my 2 front teeth,all i want for christmas is my two front teeth
the storks day off,i awoke one morning
dogs,calm
my dvd,i once had a dvd that didn't work at all
the titanic bear,i got the titanic bear
little miss kavy,little miss
in the deep blue sea,sea shells
a day with the stork,when i woke up one morning a stork was on my head
a stork unhappy,when i woke up one morning
my dog bog,i have a dog
spring,spring is beautiful
spring,spring spring is beautiful
dont weep with nature,as i hear a bird cheep
my dog,my dog is fast and sly
chinchillas,chinchillas
brook,brook you have talent it always shows
tims hair,there once was a young boy named tim
my dog,my dog runs so fast hes like the speed of light
the blue jungle,when i awoke one morning
green,the grass
summer,sunsets on the beaches
wacey,i don't forget about him waking downtown
cake,i like cake
me and my silly days,my hearing is red
school,scool
fried frogs,fried frogs are roasted and crispy
the wilderness of nature,a lion roars
morning,sun is welcoming day is start bird are singing
my eyes,i love my eyes
dogs,they kiss you on the nose
gooo mcbride,orange
blue elephant,blue and stuffed with cotton fuzzy
its raining cats and children,it's raining cats and children
the dragon,there is a dragon his name is blue
nimiway,nimiway fluffy runing
love 2,girls are sweet as a hart shaped lolly pop
teachers,grumpy
apple,red
christmas,the wind is blowing swiff
zoomer,zoomer
poohbear,when poohbear gots some honey
dogs on a log,there were some dogs
the noise at night,don't look out your window at night
my arms,my arms are good my arms are great
as i wait by the sea,as i wait by the sea
tumbling turtles,tumbling turtles tumble down tickle top tower
what chickens do,what do chickens do? well they really like to chew
punk,i saw a punk
my bird,that bird so small
metro 29 diner,on the ceiling are lots of vents
money poem,hellow my name is will
too big too tall,i'm too big
spotty,spotty is black and has one stripe
lord of the rings,hobbits frodo
flirty gerite,i once knew a girl named gertie
theres a t rex on my block,ther's a t- rex on my block i glared at my clock
ed,i know a man his name is ed
the cat who could fly,there once was a cat who could fly
internet,i love the computer
dogs,furry and cute barking
the funky chicken,there once was a funky chicken
soccer,we had a good game
the one bill,you are green and black
baseball,baseball
my dog oof,i once had a dog name oof
video games,i love video games
mike,his name is mike
future,future i wonder about the future
my hamster,my hamster
im going to go insane,oh
tom,stupid fat tom
red,there once was a guy named pat
destruction,destruction can happen everywhere
cats,do you like cats? they sleep on mats
feet,feet
the best brother in the world,dennis is his name
pay attention,look at me
pe,im running
hibernation,a small squirrel scurries
clock,the clock makes a click noise
i wish i studied,my mom gets me out of bed
the name game,the lollipop lady patrolled the streets
mr mosquito,mr
sports,my name is wyman and i love sports
roses are red,roses are red violets are blue
my dog,my dogs' ears smell like socks
xavierb,when my dad snores he sounds like a org
falling,im falling
look in the sky,kids
four best friend,once there are four best friend who is a real
i hate walnuts,oh
the moon is big,the sky is blue
bread,once when i woke up one morning
the wonders of the sky,i wonder everyday where the sky ends
my messy room,i usally have a messy room
cousins,cousins cousins i got the cold
flowers,planting seed with a hoe
simple math,1+1=2
him i love,i really like a boy
dogs,a furry little mess
my world,i think of words in my head
my brother,my brother
pencils,pencils
my legs,my legs help me run
betty,there was a girl named betty
sweet thing,you bite one pice of chocolaate
happy day,today is a happy day
mango tango,when you eat a mango you'll want to do the tango 
an elephant on my head,i awoke up one morning
the knight who never got it right,one day there was a knight who never got it right
stars,stars are christmas lights in disguise
stinkystinkysmelly socks,stinky
go team,go team
mark,mark is sometimes funny
scary,scarier than the doctor
i am poem,i am as sweet as a rose
baby lions,i'm being eaten by baby lions by baby lions
a day,plain as day
gel,it holds your hair like a prisoner in jail
my mit,my mit fell on a kit
basketball,i love to shoot the basketball
the leopard,there was a leopard who liked a man named clepard
lunch,once there was a guy who had a bucket of fries
myself,i am myself
the mad man,there once was a man who shot smoke out his ears
baseball,baseball is fun get to the base run
pink,pretty
trees,noboy hates trees i like the syrup
rejection,rejection seems
midnight breeze,the cold midnight air sweeps with pride
wind,wind speaks to the people as they walk by
isabel,hurricane was very strong
my doppleganger,i look at the mirror hanging on my wall
am i me,i hear the thunder clash
the man,there once was a man who liked a pan
that one cold day,i woke up one day it was very cold
summer days,hot and cool enjoy the pool
terrible school,you went to school it wasn't really cool
mouse,i have a pet
my love,my love
green,green bright
mineral springs,mineral springs
cat,the fat cat sat right on a rat
zacks winter poem,winter is a great season for everyone to enjoy
one mornning,when i awoke one morning a stork was on my head
stanley cup ,the stanley cup finals are on now
i dont want to go,i don't want to go
the movies,the movies are fun
as the earth changes,as i walk out on a summer day
flying banana eating monkey dragon,i am the fbemd
homework,homework you make me blind
the stork,when i awoke one morning
painting,painting
dogs,dogs are dogs not frogs
football,football is fun for me and you
my dad was walking in the zoo,my dad was walking in the zoo
tests,test test test
me myself and i,me is a kid who has a big heart
play,play play play all day having fun and saying hey
apples,are loved pants parshly good love edible sweet
a bannana ate my father,a bannana ate my father but i didn't bother
the fat mat,there once was a cat
i had a dog,i had a dog that lived in a bog
flowers,red
the day,today was the day
fall,fall is depressing with leaves gone
people,i am a person are you
work,once there was a stack of papers
freedom,we are free we want freedom
my christmas surprise,when i awoke on christmas morning
peace,life can be peacceful
spring,when spring bursts in
the hat,upon my head
snow,snow snow
x homework x,hate b =p
green and blue ,the green beneath the blue
tears hidden,you left lonely
christmas,i love christmas the presents
darkness,darkness is the saddest thing
pie clock is always wining,in the afternoon
dogs,it's a cut small dog
bird,it's a little little bird
my mouth,with my mouth i've tasted flavor an food
my arm,i sprang my arm they are strong
soccer,when i'm running on the grass i dribble
the bear,there was a black bear
teacher teacher,teacher
the gnat,as i was sitting on my cat
halloween night,its halloween
a moviestars fall,everybody knows me
computer,computer
everglades,the everglades are sunny
room service,room service
depends,depends on how i'm feeling
camping by the ocean,the sea
what is love,what is love? a home for two people
nan,my mom is like a butterfly
me and i,me and i walk down the street
about meeee,my hair is pink
what a smart cookie,i just do not understand
flying monkeys,it was a fine afternoon in the middel of june
singing,i love to sing
cheese,sometimes holey sometimes creamy mostly colby jack
kiss,he was a dream
